lat,lng,code,key
1.30097493989,103.852179862,07518,07518
1.29945446472,103.852679839,07561,07561
1.29949531348,103.853013954,07569,07569
1.30063444632,103.851140093,07571,07571
1.29706985017,103.843610287,08011,08011
1.29624633746,103.844070092,08019,08019
1.29831153784,103.84525696,08031,08031
1.29807445052,103.847832543,08041,08041
1.29933305355,103.845305443,08057,08057
1.29895834316,103.846541153,08058,08058
1.29819002791,103.849374371,08069,08069
1.29921444446,103.849103292,08079,08079
1.29984311307,103.84094341,08111,08111
1.30027569327,103.838776185,08121,08121
1.30073968408,103.841005008,08137,08137
1.30047000699,103.84185581,08138,08138
1.30044251756,103.836238042,09059,09059
1.30453633652,103.829022754,09111,09111
1.30390954695,103.826903652,09121,09121
1.30391999998,103.823338056,09131,09131
1.30369021411,103.82364008,09139,09139
