bus,stop
77,09111
NR8,09111
105,09121
106,09121
111,09121
123,09121
132,09121
174,09121
174e,09121
7,09121
77,09121
NR8,09121
105,09131
106,09131
111,09131
123,09131
132,09131
174,09131
174e,09131
7,09131
75,09131
77,09131
NR8,09131
75,09139
105,09141
106,09141
123,09141
174,09141
7,09141
75,09141
77,09141
NR8,09141
105,09149
106,09149
123,09149
174,09149
7,09149
77,09149
NR8,09149
105,09159
106,09159
111,09159
123,09159
132,09159
174,09159
174e,09159
36,09159
7,09159
77,09159
NR8,09159
105,09169
106,09169
111,09169
123,09169
132,09169
174,09169
174e,09169
36,09169
502,09169
502A,09169
7,09169
77,09169
NR8,09169
105,09179
106,09179
111,09179
123,09179
132,09179
174,09179
174e,09179
36,09179
502,09179
502A,09179
7,09179
77,09179
NR8,09179
36,09191
14,10099
147,10099
196,10099
197,10099
855,10099
961,10099
961C,10099
123,10141
16,10141
195,10141
33,10141
5,10141
63,10141
851,10141
NR5,10141
123,10149
16,10149
195,10149
33,10149
5,10149
63,10149
851,10149
NR5,10149
123,10151
16,10151
195,10151
33,10151
5,10151
63,10151
851,10151
NR5,10151
123,10161
123M,10161
16,10161
195,10161
33,10161
5,10161
63,10161
851,10161
NR5,10161
123,10169
16,10169
195,10169
33,10169
5,10169
63,10169
851,10169
NR5,10169
16,10171
32,10171
33,10171
63,10171
64,10171
851,10171
NR5,10171
16,10179
32,10179
33,10179
63,10179
64,10179
851,10179
NR5,10179
132,10181
145,10181
32,10181
33,10181
63,10181
64,10181
NR5,10181
132,10189
145,10189
32,10189
33,10189
63,10189
64,10189
NR5,10189
132,10191
145,10191
32,10191
33,10191
63,10191
64,10191
NR5,10191
132,10199
145,10199
32,10199
33,10199
63,10199
64,10199
NR5,10199
132,10201
145,10201
32,10201
33,10201
64,10201
NR5,10201
132,10209
145,10209
32,10209
33,10209
64,10209
NR5,10209
186,10221
51,10221
64,10221
186,10229
51,10229
64,10229
186,10231
51,10231
64,10231
186,10239
51,10239
64,10239
139,10241
186,10241
51,10241
970,10241
139,10249
186,10249
51,10249
970,10249
139,10261
186,10261
51,10261
970,10261
139,10269
186,10269
51,10269
970,10269
139,10271
186,10271
51,10271
970,10271
139,10279
186,10279
51,10279
970,10279
111,10281
139,10281
145,10281
186,10281
33,10281
51,10281
64,10281
970,10281
NR5,10281
111,10289
139,10289
186,10289
51,10289
970,10289
NR5,10289
132,10341
145,10341
16,10341
851,10341
132,10349
145,10349
16,10349
851,10349
132,10351
145,10351
16,10351
851,10351
132,10359
145,10359
16,10359
851,10359
14,10381
32,10381
64,10381
65,10381
14,10389
32,10389
64,10389
65,10389
139,10421
63,10421
63,10451
63,10459
63,10481
63,10489
139,10519
14,10519
32,10519
65,10519
970,10519
100,11009
111,11009
92,11009
153,11091
165,11091
174,11091
186,11091
48,11091
855,11091
93,11091
961,11091
961C,11091
153,11099
165,11099
174,11099
186,11099
48,11099
5N,11099
855,11099
93,11099
961,11099
961C,11099
153,11101
165,11101
174,11101
186,11101
48,11101
855,11101
93,11101
961,11101
961C,11101
153,11109
165,11109
174,11109
186,11109
48,11109
5N,11109
855,11109
93,11109
961,11109
961C,11109
153,11111
